IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-819.33594,90.82031,-517.57812,0.3368085775950349,0.013456313999951,-0.0214502710399355,-14.25,31.65,13.35,440.42969,180.66406,907.71484,-0.0278453319521679,0.0349065850398865,-0.0640843013430269,47.55,13.95,97.95,-697.26562,-24.41406,731.93359,-0.0053291883380394,-0.1135130729570576,0.0147886983509235,56.1,23.85,33.9
-834.47266,96.67969,-521.48437,0.2407487971579206,0.0560903443030425,-0.0421010067495324,-12.3,31.05,13.2,458.00781,162.59766,882.8125,0.0397029243572922,0.0133231453780239,-0.0327748398915007,47.1,11.4,97.05,-687.98828,-21.48438,745.60547,-0.0262466103573411,-0.0487625794385443,-0.015055210127703,55.8,22.2,34.35
-848.14453,127.92969,-504.88281,0.2592679622520568,0.0097258472567384,0.0480965617959833,-12.6,30.3,13.5,456.05469,143.55469,874.02344,0.0508943245869302,0.0015987215948268,-0.0734104682010586,47.1,11.4,97.05,-686.52344,-41.50391,728.02734,0.0302434143444081,-0.0464976656682313,-0.0483628990398376,56.1,23.1,34.95
-821.77734,126.46484,-509.76562,0.2291577165295759,-0.05475795995207,-0.0066615726890119,-12.6,30.3,13.5,468.26172,168.94531,875.97656,0.0483628990398376,0.0177198042967228,-0.0941945470655079,47.7,12.6,97.35,-696.28906,-35.64453,748.04687,0.0425006871482391,-0.0226493122360556,-0.0615528757959344,57.15,23.4,34.5
-818.84766,110.83984,-504.39453,0.1453552088962925,0.0279785005740951,-0.0772741035661985,-12.3,29.85,12.15,457.03125,181.64062,881.83594,0.0367718184114929,0.0169204434993094,-0.1544150385104699,46.8,12.75,98.55,-671.38672,-45.41016,738.76953,0.0905972489442224,-0.0403691165327784,-0.0516936853843436,56.7,22.35,33.9
-829.10156,119.14063,-513.67187,0.1224395594163826,0.0343737360192527,-0.0711455544307456,-12.45,31.65,13.05,457.51953,175.29297,881.34766,0.069680001457846,0.0371714988101996,-0.1260366830047429,46.8,12.75,98.55,-689.94141,-49.31641,754.88281,0.0941945470655079,-0.0487625794385443,-0.0940612039106556,56.7,22.65,33.9
-846.19141,112.30469,-516.60156,0.1219065358628235,-0.0199847180670358,0.0090596550812521,-13.5,30.9,12.6,436.03516,156.73828,907.22656,0.0102588708102974,0.0205175670876697,-0.0992572236267679,45.9,12.15,97.65,-694.82422,-57.61719,754.39453,0.1181760691196108,-0.0253139064050753,-0.1021883295725672,56.7,22.65,33.9
-851.07422,108.39844,-523.92578,0.0179861415405771,0.071944915228159,-0.0141225061754373,-11.55,30.3,13.5,447.26562,160.64453,915.03906,0.0230489926347623,-0.0097258472567384,-0.1618759719968953,47.4,12.6,97.35,-700.68359,-81.05469,732.91016,0.2179663162999378,-0.0337075438437664,-0.0563568560798221,56.7,22.65,33.9
-853.51562,101.5625,-517.57812,0.0646171503636608,0.0844685252758443,-0.0211837592631559,-11.55,30.3,13.5,442.87109,165.52734,901.85547,0.0474303696204971,0.0291777163031404,-0.1378942754098671,47.25,12.75,97.95,-729.98047,-81.54297,732.91016,0.1797289449155452,-0.0397029243572922,-0.1260366830047429,57.3,22.95,34.35
-840.82031,101.07422,-532.71484,0.0850015488294034,0.040235773377926,-0.0013323843509724,-13.05,29.85,12.15,457.51953,183.10547,889.16016,-0.050761155965003,0.0341072242424731,-0.1428239578821251,47.25,12.75,97.95,-704.10156,-73.24219,754.39453,0.1909203451451833,0.0169204434993094,-0.1903874961245494,55.65,23.85,35.25
-855.46875,107.91016,-534.17969,0.0650168307623675,0.0378376909856858,0.0683476171068735,-13.2,31.2,13.05,461.42578,182.61719,905.76172,-0.0377045223637587,0.0259800985805615,-0.1346968322202135,47.25,12.45,97.95,-723.14453,-76.66016,765.625,0.2578024092791572,0.0097258472567384,-0.1686707133078344,57.3,22.5,35.1
-849.60937,105.46875,-512.69531,0.0021317451483858,0.0955267568835552,0.046897346066938,-14.25,30.9,12.0,463.86719,166.50391,899.90234,-0.025713586803782,0.0238483534321757,-0.1961163648612956,46.65,11.85,96.6,-725.09766,-76.66016,727.05078,0.2399494363605072,0.0511608363637097,-0.170136266280734,56.7,23.4,35.25
-857.91016,100.09766,-522.46094,0.0057288687367461,0.0702128504784798,0.060753514998521,-14.25,30.9,12.0,457.03125,165.03906,913.08594,-0.0383705400063197,0.0015987215948268,-0.1538820149569108,46.2,12.0,97.5,-724.12109,-84.47266,721.67969,0.2965728042171088,-0.0050628510941851,-0.190254152969697,57.0,21.45,34.8
-834.96094,113.28125,-520.01953,-0.0137228257767306,0.0393032439585855,0.0925956509377559,-14.25,30.9,12.0,447.75391,161.13281,903.32031,-0.0246477142295891,-0.0066615726890119,-0.2133031456044594,47.55,12.0,96.9,-726.5625,-98.14453,735.35156,0.3162910105073652,0.0444992636746978,-0.1709356270781474,55.65,21.9,34.2
-832.51953,109.375,-532.22656,-0.0828698036810175,0.0935283548900217,0.0342403928644003,-13.2,30.9,12.6,438.96484,152.34375,908.69141,0.0010658725741929,0.0066615726890119,-0.2066415729154474,48.0,11.25,97.5,-729.49219,-78.61328,721.19141,0.3021685043319279,0.045165455850184,-0.2347534166443949,55.65,21.9,34.2
-822.75391,124.02344,-535.64453,-0.040235773377926,-0.0118575924051242,0.0955267568835552,-13.2,29.4,13.05,425.78125,148.92578,898.92578,-0.0604870032217414,-0.0049295079393327,-0.2173001241244516,48.15,11.4,98.85,-723.14453,-80.07813,725.09766,0.3394731717640546,0.0179861415405771,-0.2042434905232072,56.1,22.35,33.45
-823.24219,128.90625,-532.22656,-0.0299770771005538,0.0460979852695246,0.1269693869570086,-13.35,32.1,12.9,427.73437,148.92578,900.39062,-0.0158545709251164,-0.0345069046411798,-0.2142358495567251,48.15,11.4,98.85,-716.30859,-56.64063,737.79297,0.3601240820065768,-0.0125237845806105,-0.2256937615631427,56.1,22.35,33.45
-826.17187,111.81641,-542.96875,-0.0126569532025376,0.0480965617959833,0.0643506385868813,-12.9,30.45,12.6,399.41406,140.13672,904.78516,-0.0735436368229858,-0.0386370517830992,-0.2165007633270382,48.0,12.45,97.95,-721.19141,-69.33594,741.21094,0.4228759989986312,0.0047963393174056,-0.1950504922871027,56.4,22.65,34.5
-820.80078,92.77344,-543.45703,-0.0652833425391471,0.0726111074036452,0.0763415741468579,-12.9,30.45,12.6,422.85156,134.76562,903.32031,-0.0091929982361045,-0.0546247913301429,-0.2803185528932856,47.4,11.1,97.65,-720.70312,-52.24609,686.52344,0.4127504713431862,0.0038636353651398,-0.1770643507465255,56.55,21.45,34.35
-825.19531,105.95703,-559.08203,0.0125237845806105,0.1060521394706322,0.0921959705390492,-14.25,30.45,12.6,437.5,162.10937,881.34766,-0.0811377389313384,0.0018652333716063,-0.2993705670080557,46.5,12.75,98.25,-713.86719,-48.82813,717.77344,0.3650535899459095,-0.046897346066938,-0.1726676918278266,56.1,21.9,33.45
-819.33594,98.14453,-563.96484,0.0237151848102485,0.0682144484849463,0.0492956029921034,-12.45,31.65,13.65,441.40625,151.36719,909.66797,-0.0840688448771376,-0.0182526533173567,-0.2641974701913896,46.5,12.75,98.25,-739.74609,-57.61719,728.02734,0.378643247100713,-0.073676805444913,-0.2290245479076487,56.25,24.75,34.35
-833.98437,83.98438,-554.19922,0.0369049870334201,0.1420244225517865,0.0434333911005048,-13.95,30.9,13.35,434.57031,169.92187,899.90234,-0.095393588261628,-0.0483628990398376,-0.2411484775566273,46.5,12.75,98.25,-748.04687,-51.26953,723.14453,0.4004931985393552,-0.0460979852695246,-0.229290885151503,57.45,21.15,34.5
-829.10156,86.91406,-552.73437,0.0860674214035963,0.1273690673557154,0.0957932686603347,-13.95,30.9,13.35,453.61328,142.57812,920.89844,-0.0965926294577481,-0.0740764858436197,-0.2881791667784177,48.3,11.55,97.2,-733.39844,-36.62109,722.65625,0.3610566114259174,-0.0664823837352672,-0.2695268330623543,56.4,22.35,34.2
-811.03516,81.54297,-562.98828,0.1424242774834185,0.0788728251610253,0.0936615235119489,-12.6,31.35,13.5,429.6875,130.37109,926.26953,-0.1100489434576992,-0.1305666850782942,-0.2367519931708536,47.25,12.0,97.95,-725.09766,-17.08984,728.51562,0.377044350972961,-0.0913966097416358,-0.2510076679682181,56.4,22.35,34.2
-819.82422,111.32813,-539.0625,0.1241714496331365,0.0756753819713717,-0.0003996803987067,-13.95,31.2,12.6,434.08203,137.69531,930.66406,-0.1008561197545199,-0.0967257980796753,-0.2539387739140173,47.25,12.0,97.95,-723.14453,-57.61719,717.77344,0.3763783333303999,-0.105385947295146,-0.2304901008805483,55.35,22.35,34.2
-809.57031,111.32813,-543.45703,0.1247044731866956,0.082603291904238,0.0421010067495324,-15.0,29.7,12.6,422.36328,122.55859,916.99219,-0.1224395594163826,-0.0949939078629213,-0.314558945757686,47.4,11.4,97.05,-729.49219,-70.80078,718.75,0.3674516723381497,-0.1100489434576992,-0.269926513461061,56.55,21.45,33.0
-803.71094,133.78906,-563.47656,0.1838590920574646,0.0062618922903052,0.0885988469506889,-13.95,31.2,12.6,439.94141,132.8125,921.38672,-0.1216401986189692,-0.0908637607210019,-0.2510076679682181,48.45,12.15,97.35,-710.9375,-73.73047,731.93359,0.3200214772505779,-0.1704027780575135,-0.2446126070559856,57.3,21.75,34.35
-812.01172,113.76953,-552.73437,0.1450888716524382,0.1080505414641657,0.0616860444178615,-13.95,31.2,12.6,445.3125,121.09375,915.03906,-0.1670719917130076,-0.0991240550048407,-0.2724579390081536,47.55,10.05,97.95,-729.98047,-82.51953,728.51562,0.3086967338660875,-0.1291011321053945,-0.1954501726858094,56.7,22.65,33.15
-831.05469,112.79297,-560.05859,0.1496186991930643,0.1039203943222463,-0.0163874199457503,-13.5,31.95,12.3,435.54687,111.32813,909.66797,-0.1958498530845161,-0.0804717212887773,-0.2896447197513174,47.55,10.05,97.95,-727.53906,-79.58984,727.53906,0.2629984289952695,-0.1617428033749681,-0.2899112315280969,56.4,22.35,33.45
-844.23828,100.58594,-569.82422,0.18625734898263,0.0427671989250186,0.0903307371674429,-13.95,29.4,11.25,449.70703,108.88672,922.36328,-0.1328315988486072,-0.1129800494034985,-0.36478707816913,47.1,11.85,96.6,-734.86328,-78.125,760.74219,0.2499417953940251,-0.250474644414659,-0.2631317721501219,55.65,22.35,35.55
-848.63281,86.91406,-569.82422,0.198514621786461,0.0174532925199432,0.0872664625997164,-14.1,30.6,12.45,442.38281,132.32422,927.24609,-0.1809279861116653,-0.0800720408900706,-0.3473337856491867,48.0,12.0,96.45,-726.07422,-116.69922,766.60156,0.3377411070143755,-0.2578024092791572,-0.2893782079745378,55.65,22.35,35.55
-864.25781,83.49609,-565.91797,0.2145023613335047,0.0253139064050753,0.0698131700797731,-14.1,30.6,12.45,454.10156,127.92969,916.99219,-0.2023782571516009,-0.0866002704242302,-0.3076308612918945,48.0,12.0,96.45,-705.56641,-110.83984,738.76953,0.3831730746413391,-0.19132002554389,-0.3064318200957744,55.65,22.35,35.55
-844.72656,86.42578,-553.22266,0.3036340573048275,-0.0118575924051242,0.0567565364785288,-13.95,30.45,12.0,447.26562,151.85547,916.50391,-0.245411967853399,-0.1263031947815224,-0.3130933927847864,47.1,11.4,98.1,-715.82031,-80.56641,741.21094,0.3707824586826557,-0.2404824599140662,-0.2306232695024755,56.55,22.5,34.8
-834.47266,97.16797,-532.22656,0.3039003945486819,-0.0779402957416847,0.0472970264656447,-13.8,29.85,12.45,446.77734,134.76562,922.36328,-0.3017688239332212,-0.1418912539298594,-0.3213536870686251,48.0,10.8,98.55,-704.10156,-112.79297,783.69141,0.3486661700001592,-0.3297473245073162,-0.2590014504752773,56.55,22.5,34.8
-828.125,108.88672,-523.4375,0.2801852097384332,-0.0182526533173567,0.0091929982361045,-13.5,29.7,12.6,468.26172,141.60156,943.35937,-0.2796523607177994,-0.1526829737607907,-0.349199019020793,48.6,9.3,97.2,-704.10156,-106.44531,812.5,0.4075542770941487,-0.294441059068723,-0.3092297574196465,54.9,22.35,34.2
-816.40625,107.91016,-502.44141,0.3149586261563927,-0.0694134896810664,0.0799386977352182,-15.15,28.8,11.85,500.48828,133.78906,898.92578,-0.3519969563446652,-0.1870567097800435,-0.3285482833111962,48.6,9.3,97.2,-669.43359,-133.30078,817.38281,0.4897580631326052,-0.4228759989986312,-0.2981715258119357,57.9,21.9,33.45
-815.42969,103.51563,-505.37109,0.3132267359396388,-0.0654165111610742,0.0411684773301918,-15.15,28.8,11.85,481.44531,113.28125,914.55078,-0.3741132450271617,-0.1843921156110237,-0.3585251858788247,48.15,9.6,98.4,-691.89453,-101.07422,787.59766,0.5843522905968198,-0.1993139825838744,-0.2825834666635987,57.0,21.75,34.35
-819.82422,99.60938,-506.83594,0.3113613280351072,-0.0057288687367461,-0.0722112524720134,-14.25,30.15,12.0,490.72266,102.05078,924.31641,-0.3861041805871384,-0.2234288477928296,-0.367051991939443,47.7,11.1,97.35,-687.5,-95.70313,757.32422,0.6311164680418307,-0.2183659966986445,-0.3304135166828025,56.7,21.9,36.6
-804.6875,89.84375,-521.48437,0.3297473245073162,-0.0784731447623186,0.0298437339457014,-13.35,28.5,13.5,476.07422,133.30078,900.87891,-0.3384072991898617,-0.2456784796301786,-0.3902343277290577,47.7,9.6,97.65,-641.11328,-72.75391,772.46094,0.7576860000672075,-0.3377411070143755,-0.2568698798598167,56.7,20.1,36.0
-833.49609,80.56641,-533.20312,0.3148254575344655,-0.061419532641082,-0.0033307863445059,-14.25,28.95,12.6,466.30859,104.49219,893.06641,-0.4030244495535226,-0.2544716229346512,-0.4413951640927675,47.4,11.1,98.1,-679.6875,-109.86328,781.73828,0.8612067139907472,-0.3731807156078211,-0.2648636623668758,54.75,21.45,34.35
-840.33203,61.52344,-551.26953,0.279918872494579,0.0347734164179594,-0.0146553551960711,-14.25,28.95,12.6,500.97656,71.28906,896.48437,-0.3499983798182065,-0.2943077159138706,-0.42993725208635,46.2,9.3,98.25,-687.98828,-90.82031,780.76172,0.9808483360832576,-0.4075542770941487,-0.255404326886917,54.75,21.45,34.35
-847.65625,70.3125,-539.55078,0.3846386276142387,-0.1125803690047918,0.0421010067495324,-14.1,28.8,12.45,462.89062,73.73047,850.09766,-0.4052893633238356,-0.1505512286124048,-0.4471240328295137,46.5,10.05,98.55,-626.46484,-81.05469,812.98828,1.032941701866308,-0.3084302220893079,-0.2470106894482258,55.2,20.7,35.1
-845.70312,58.10547,-539.0625,0.4062220672761014,-0.1059187963157798,0.0235820161883213,-12.45,28.95,11.25,460.9375,21.97266,922.85156,-0.3442695110814603,-0.3310797088582887,-0.5246646481724918,46.5,10.05,98.55,-714.35547,-55.17578,776.85547,1.0790398616687578,-0.1408253813556664,-0.2677947683126752,55.2,20.7,35.1
-818.35937,44.43359,-540.03906,0.3397396835408342,-0.0748760211739583,-0.0359724576140795,-13.8,29.55,11.85,416.50391,68.84766,896.97266,-0.2692603212855747,-0.2442129266572789,-0.560503762631719,47.25,9.0,97.95,-697.26562,-16.60156,741.69922,1.1496523925459443,-0.1657396073620351,-0.1853246450303643,57.45,20.85,34.95
-816.40625,36.62109,-515.13672,0.3815741785135871,-0.1203078142679967,0.0283781809728018,-13.95,30.45,12.3,375.48828,34.66797,880.85937,-0.2590014504752773,-0.2680612800894547,-0.5730275472123294,45.75,9.0,97.5,-665.03906,-31.73828,737.79297,1.225327774517316,-0.2739234919810532,-0.1537488463349836,55.8,20.25,36.45
-809.57031,30.76172,-525.87891,0.3903674963509849,-0.0947273960861418,0.0034639549664331,-13.95,30.45,12.3,474.60937,75.19531,845.70312,-0.1858576685839233,-0.3076308612918945,-0.6281853620960315,48.0,8.55,98.55,-635.74219,-10.74219,758.30078,1.2695605264152343,-0.1938514510909826,-0.1937182824690554,57.0,21.0,37.2
-825.68359,29.78516,-542.48047,0.357459487837557,-0.0631515973907612,-0.0338407124656936,-13.95,26.7,11.55,412.10937,-0.48828,890.625,-0.220364398692178,-0.3573261446827047,-0.702128679317724,48.0,8.55,98.55,-656.25,-51.75781,775.39062,1.2513078730978775,-0.1863905176045572,-0.2121041044083393,55.65,20.55,34.5
-819.82422,7.8125,-540.03906,0.394897323891611,-0.0771409349442713,-0.0241148652089552,-13.8,28.05,11.85,433.10547,57.61719,867.67578,-0.1632081818149425,-0.2793858489410198,-0.6597611607914121,46.8,6.75,98.55,-662.10937,7.32422,742.67578,1.267695293043628,-0.0739433172216925,-0.185724325429071,55.65,20.55,34.5
-834.96094,11.23047,-552.73437,0.4449922876811278,-0.1564134405040034,0.0125237845806105,-14.55,27.9,9.6,461.42578,103.02734,878.41797,-0.0668820641339739,-0.4553843271133524,-0.7374349447563173,46.65,8.4,97.35,-659.66797,76.66016,728.02734,1.2972726897454752,0.0249142260063686,-0.268860640886868,56.4,22.65,34.5
-837.89062,13.18359,-549.31641,0.3497320425743521,-0.1338974714228001,0.0247810573844414,-14.55,27.9,9.6,480.46875,70.3125,891.11328,-0.1629418445710882,-0.3894349669316443,-0.735036687831152,46.65,8.4,97.35,-635.74219,97.16797,719.72656,1.2345207727534209,-0.0618192130397887,-0.1629418445710882,56.4,22.65,34.5
-828.125,16.11328,-551.26953,0.3935651140735637,-0.1068515002680456,0.0520933657830503,-14.55,27.9,9.6,414.55078,104.49219,715.82031,-0.1116478395854512,-0.2596676426507636,-0.7006631263448244,47.1,8.1,98.1,-673.82812,177.73437,736.32812,1.1952175287948352,0.0683476171068735,-0.1705359466794407,57.45,21.6,36.0
-821.28906,0.48828,-541.99219,0.4641776449507503,-0.1100489434576992,-0.0037304667432126,-14.55,27.15,11.55,454.58984,178.22266,885.74219,0.0728774446474996,-0.2582020896778639,-0.7257105209731203,46.35,7.35,98.1,-711.91406,168.94531,703.61328,1.1647076026736476,0.0700796818565527,-0.1392266597608396,54.6,21.9,34.2
-835.44922,7.32422,-545.41016,0.4272726579173302,-0.0595542992694757,0.0475635382424242,-13.5,27.15,12.0,438.96484,198.24219,926.75781,-0.1060521394706322,-0.1392266597608396,-0.5980749418406253,46.65,7.35,98.1,-669.92187,213.37891,687.01172,1.1319327627821467,-0.0137228257767306,-0.1883889195980907,56.4,20.85,34.2
-815.91797,0.0,-535.64453,0.403157792708375,-0.1320322380511938,0.0568897051004559,-12.9,26.7,12.6,401.85547,234.375,938.96484,0.0030642745677264,-0.2985712062106423,-0.6179264912857341,46.65,7.35,98.1,-686.52344,257.32422,701.66016,1.100356789553841,-0.0427671989250186,-0.114312433754471,56.25,21.45,34.35
-826.17187,-1.46484,-543.94531,0.4335343756747103,-0.1418912539298594,0.0956601000384076,-13.5,26.1,11.55,451.17187,252.92969,843.75,-0.0459648166475974,-0.1766646703478188,-0.5451822152601615,48.45,7.35,98.1,-677.24609,273.92578,666.50391,0.9668591730626728,-0.1245711300318432,-0.0643506385868813,56.25,21.45,34.35
-817.87109,6.34766,-554.6875,0.3833062432632662,-0.0746095093971788,0.0611531953972277,-13.5,26.1,11.55,440.42969,265.13672,808.59375,0.0051960197161123,-0.1486859952407985,-0.4933553612538907,46.5,7.35,98.1,-658.20312,287.10937,706.05469,0.8858546027532616,-0.2510076679682181,0.0191853572696224,56.1,21.6,35.25
-824.21875,11.71875,-562.98828,0.3967625572632173,-0.0702128504784798,0.0478300500192038,-13.05,26.55,11.85,462.89062,282.22656,831.54297,0.0065284040670847,-0.0928621627145355,-0.4729709627881482,46.8,7.05,99.0,-620.11719,280.76172,693.35937,0.7877964203226138,-0.1873230470238978,-0.0969923098564548,55.8,22.2,34.8
-853.51562,12.20703,-569.82422,0.3799754569187603,-0.0799386977352182,0.1207074946667034,-13.95,27.15,11.55,470.70312,269.04297,867.67578,-0.059154618870769,-0.0350397536618137,-0.3782433921690811,46.8,6.0,99.75,-613.28125,287.59766,715.33203,0.712787055993803,-0.0173201238980161,0.0226493122360556,55.8,22.2,34.8
