IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_GyrX,IMU1_GyrY,IMU1_GyrZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-947.26562,-34.66797,-452.14844,-0.0013323843509724,-0.0997902471803269,-0.05475795995207,-8.25,27.15,22.5,-358.88672,-13.18359,941.40625,-0.0049295079393327,0.0138559943986577,0.0688804661275074,81.0,4.2,78.9,-968.26172,65.91797,216.30859,-0.0969923098564548,0.1428239578821251,-0.1538820149569108,56.4,18.3,0.15
-938.47656,-41.99219,-445.80078,-0.0005328490206338,-0.1057856276938527,-0.0102588708102974,-8.25,27.15,22.5,-360.83984,-32.22656,959.96094,-0.0401026047559989,0.0394364125805126,0.0566231933236764,80.25,4.65,77.7,-982.42187,39.55078,216.79687,-0.0819372742616769,0.1392266597608396,-0.1360290420382608,57.3,18.0,1.35
-911.13281,-42.96875,-445.3125,0.0399694361340717,-0.1211071750654101,0.0214502710399355,-6.3,27.0,23.25,-369.62891,-51.26953,950.19531,-0.0535589187559499,0.0434333911005048,0.0852680606061829,80.25,4.65,77.7,-984.375,19.53125,219.72656,-0.0631515973907612,0.1518836129633773,-0.1183094122744632,57.3,19.2,2.7
-926.75781,-44.92188,-444.82422,-0.0209172474863764,-0.0628850856139816,-0.0186523337160634,-5.25,28.05,22.65,-381.34766,-52.73438,977.53906,0.0530260697353161,0.3919663924787369,0.0684807857288007,81.15,3.3,78.0,-976.5625,21.48438,216.79687,-0.0692803210591393,0.1413584049092255,-0.0980581824306478,56.25,18.75,0.6
-932.12891,-47.36328,-434.08203,0.0003996803987067,-0.1498852109698438,0.0073277648644981,-6.9,26.4,22.05,-395.50781,-64.45313,930.66406,-0.0442327518979182,0.0963261176809686,0.0892648645932499,80.55,3.9,78.15,-969.72656,24.90234,236.32812,-0.0839356762552105,0.1933186020703487,-0.1406922127337393,56.25,19.2,0.6
-912.59766,-37.10938,-414.55078,-0.0255804181818548,-0.1100489434576992,-0.0067947413109391,-6.45,26.7,21.75,-350.09766,-63.47656,968.26172,0.023448673033469,0.1358958734163337,0.1101822866125516,82.05,3.15,77.1,-978.51562,28.80859,248.04687,-0.0923293136939016,0.2157014025296248,-0.1586783542743164,57.3,18.45,1.65
-924.31641,-20.99609,-408.20312,-0.0297105653237742,-0.0603538345998143,-0.0905972489442224,-6.45,26.7,21.75,-358.39844,-50.78125,991.21094,-0.0548913031069224,0.1601439072472161,0.1056524590719255,82.05,3.15,76.65,-969.23828,3.90625,276.85547,-0.0940612039106556,0.245411967853399,-0.1462879128485583,56.55,18.0,1.35
-928.71094,-24.90234,-402.34375,0.0081271256619115,-0.1191087730718766,0.0082602942838387,-6.9,26.4,22.05,-332.51953,-48.82813,996.58203,-0.0093261668580317,0.1473537854227512,0.1434899755246862,81.75,3.9,77.4,-956.05469,15.625,270.99609,-0.0554241521275563,0.3188224360544577,-0.200779535556774,56.55,18.0,1.35
-925.29297,-29.78516,-399.90234,0.0151883787496302,-0.1217733672408963,0.0062618922903052,-5.4,26.7,21.45,-320.3125,-41.01563,1004.88281,-0.0235820161883213,0.1737335644020195,0.1306998537002213,81.9,3.75,78.3,-930.66406,18.55469,241.69922,-0.0370383301882724,0.3823737138439257,-0.2332878636714952,56.4,17.55,0.45
-942.87109,-27.34375,-400.39062,-0.0452986244721112,-0.0710122112758932,0.0010658725741929,-7.2,27.15,21.45,-326.17187,-55.17578,1005.37109,-0.050761155965003,0.2660628780959211,0.1598775700033617,81.9,3.75,78.3,-955.56641,-20.99609,229.00391,-0.0588882816269146,0.3958300278438768,-0.2030444493270871,56.4,17.55,0.45
-973.14453,-27.83203,-399.90234,0.0158545709251164,-0.1510842521659639,0.0508943245869302,-7.65,27.3,22.35,-348.14453,-36.13281,991.21094,-0.064750318985588,0.1979815982329019,0.1496186991930643,82.05,2.7,76.35,-970.70312,-28.32031,207.03125,0.0049295079393327,0.349199019020793,-0.1959831962393684,57.15,18.3,0.45
-971.67969,-31.73828,-418.45703,-0.0443659205198454,-0.2031776179490143,0.0319754790940873,-7.65,27.3,22.35,-366.21094,-63.96484,945.80078,-0.1354961930176269,0.2362189696172945,0.2178331476780106,82.95,4.05,76.95,-982.42187,-30.27344,182.61719,-0.0357059458372999,0.4123506164115543,-0.1429571265040523,56.7,16.8,-0.15
-983.39844,-9.76562,-445.3125,-0.0194516945134768,-0.2356861205966606,0.004529827540626,-6.45,26.4,22.8,-396.97266,-81.54297,919.43359,-0.1015221373970809,0.3433368071291945,0.1306998537002213,81.45,5.25,77.55,-1005.85937,-37.59766,174.31641,-0.0337075438437664,0.3409387247369543,-0.2118375926315597,57.15,18.3,-0.45
-974.12109,-5.37109,-437.98828,-0.0866002704242302,-0.2190321888741307,-0.0050628510941851,-6.0,28.05,21.9,-435.54687,-95.70313,895.50781,-0.0146553551960711,0.3999601749857961,0.1127137121596442,81.45,5.25,77.55,-1006.83594,-19.53125,177.73437,-0.0458314734927451,0.3284149401563438,-0.1566799522807829,56.55,17.7,0.3
-951.66016,-20.01953,-435.54687,-0.0253139064050753,-0.1942511314896893,-0.014522186574144,-7.5,27.15,23.85,-443.84766,-92.77344,895.01953,-0.0131899767560967,0.3310797088582887,0.1177763887209041,83.85,2.4,78.15,-1025.39063,-32.22656,181.15234,-0.0271791397766816,0.225960098806997,-0.1201746456460695,56.55,18.0,38.1
-926.26953,8.30078,-413.08594,-0.0881991665519822,-0.1277687477544221,0.0115910806283447,-6.0,27.0,22.35,-460.9375,-62.98828,901.36719,0.0158545709251164,0.2653966859204349,0.0921959705390492,82.2,5.25,76.95,-1037.10938,-13.18359,183.10547,-0.0771409349442713,0.1827932194832717,-0.0892648645932499,57.15,16.8,-0.45
-885.25391,-26.85547,-417.48047,-0.0646171503636608,-0.1338974714228001,0.0366386497895657,-6.0,27.0,22.35,-466.30859,-84.96094,907.71484,0.016787100344457,0.1878560705774568,0.118842261295097,82.2,5.25,76.95,-1043.94531,-27.34375,194.82422,-0.067015232755901,0.1243047927879889,-0.0716784034513795,57.15,16.8,-0.45
-856.93359,-10.74219,-386.23047,-0.1012558001532266,-0.0366386497895657,-0.0398360929792193,-5.55,27.75,22.95,-444.33594,-87.89063,894.04297,-0.0263797789792682,0.2430137109282336,0.1193751103157309,82.2,5.25,76.95,-1029.78516,-13.18359,196.77734,-0.0905972489442224,0.0699463387017003,-0.0603538345998143,57.15,16.8,-0.45
-834.47266,-28.80859,-405.27344,-0.1045865864977326,-0.0015987215948268,-0.0463644970463041,-6.6,26.25,21.9,-441.40625,-104.49219,890.625,-0.0627519169920545,0.1950504922871027,0.1227058966602369,82.05,4.2,76.35,-1028.32031,8.30078,198.73047,-0.0683476171068735,0.0711455544307456,-0.0814042507081179,56.4,16.8,-0.45
-857.91016,-26.36719,-398.92578,-0.0638177895662474,0.0310429496747467,0.0095926786348112,-5.55,28.05,22.95,-448.73047,-104.49219,904.78516,-0.0091929982361045,0.2015788963541875,0.1597442268485094,83.25,3.3,77.25,-1017.08984,-1.46484,200.68359,-0.1048529237415869,0.0790061683158777,-0.0624854052152749,56.25,16.95,-0.6
-863.28125,-37.10938,-390.13672,-0.0433002224785777,0.1268362183350815,-0.016787100344457,-5.4,28.2,22.05,-455.07812,-69.33594,903.32031,0.0081271256619115,0.2251607380095836,0.0648836621404404,82.8,3.9,76.65,-1016.11328,36.62109,180.66406,-0.132165406673121,0.1089830708835063,-0.0664823837352672,55.5,17.4,0.0
-938.96484,31.73828,-333.49609,-0.0023980823922402,0.0331745202902074,-0.0103920394322246,-6.3,27.75,24.0,-322.26562,16.60156,963.86719,0.0474303696204971,-0.068081105330094,-0.1424242774834185,81.9,2.55,76.95,-925.78125,90.82031,292.96875,0.2070414278470793,0.1247044731866956,-0.0327748398915007,55.5,19.5,3.45
-925.78125,46.875,-352.53906,-0.002264913770313,0.0173201238980161,-0.0387702204050264,-6.3,27.75,24.0,-332.51953,32.71484,952.14844,-0.0262466103573411,-0.1853246450303643,-0.1374945950111605,83.1,3.45,77.4,-914.55078,117.67578,276.85547,0.182926562638124,0.1693369054833206,-0.107650861065459,56.25,19.95,1.35
-929.6875,65.42969,-333.00781,-0.020117886688963,-0.0137228257767306,0.0194516945134768,-5.1,27.9,23.85,-309.08203,25.87891,937.5,-0.0622190679714206,-0.2071745964690065,-0.1169770279234907,83.1,3.45,77.4,-911.13281,118.65234,208.00781,0.2050428513206206,0.171202138854927,-0.1338974714228001,57.45,20.1,2.85
-925.78125,40.03906,-324.21875,-0.014522186574144,-0.0406354537766327,-0.0043966589186989,-5.4,28.65,23.85,-333.00781,24.90234,880.37109,-0.0113245688515652,-0.1616094602201157,-0.0780734643636119,82.95,3.75,75.75,-914.0625,146.48437,211.91406,0.1899878157258427,0.162275652395602,-0.1638743739904287,55.5,19.5,2.7
-913.57422,60.54688,-349.60937,0.0230489926347623,-0.068614128883653,0.0039969785199922,-5.4,28.65,23.55,-365.72266,21.48438,827.63672,-0.0007993607974134,-0.1077840296873862,-0.0289112045263608,82.35,3.9,75.6,-960.9375,125.48828,254.88281,0.0929953313364626,0.0381042027624654,-0.2070414278470793,56.4,17.85,1.5
-891.11328,65.42969,-341.30859,0.0081271256619115,-0.0523598775598298,0.0203843984657425,-5.4,28.65,23.55,-391.11328,62.01172,886.23047,0.0470306892217904,-0.0287778613715085,-0.0606201718436686,82.35,3.9,75.6,-967.28516,107.91016,277.34375,0.023448673033469,0.0227824808579827,-0.2034441297257938,56.4,19.35,2.85
-857.42187,56.15234,-337.40234,0.0249142260063686,0.0394364125805126,-0.0058622118915985,-5.7,27.15,22.8,-404.29687,58.59375,947.26562,-0.0230489926347623,0.0062618922903052,-0.0197182062902563,79.65,4.05,76.95,-1036.13281,76.17188,281.73828,-0.0059953805135257,0.0205175670876697,-0.2462113286508125,56.4,19.35,2.85
-828.125,69.33594,-336.42578,0.0077274452632048,0.0608866836204481,0.0730107878023519,-5.4,28.2,23.1,-416.50391,33.20313,975.09766,-0.0582220894514284,-0.0943277156874351,-0.0001331686219271,81.0,3.45,78.9,-1042.48047,59.57031,287.59766,-0.0552909835056291,0.0162542513238231,-0.2017120649761146,55.8,20.25,3.75
-821.28906,65.42969,-337.89062,-0.0175864611418704,0.1458882324498516,0.0421010067495324,-5.55,28.05,24.75,-437.98828,-3.41797,996.09375,-0.0951270764848485,-0.1905206647464766,0.0169204434993094,81.9,2.25,76.2,-1042.96875,68.35938,300.29297,-0.0496952833908101,0.0013323843509724,-0.1782633919426456,55.8,20.25,3.75
-832.03125,69.82422,-368.65234,-0.0911300979648563,0.158944866051096,0.0095926786348112,-5.55,28.5,22.95,-416.99219,-32.71484,996.58203,-0.1557472483285172,-0.1963828766380752,0.0213169278850831,81.9,2.25,76.2,-1041.50391,75.19531,291.99219,-0.0027979373238721,-0.0567565364785288,-0.1538820149569108,57.45,19.05,2.25
-875.97656,60.05859,-386.71875,-0.0920628019171221,0.3460015758311394,-0.0105252080541518,-5.55,28.5,22.95,-410.64453,-88.37891,984.375,-0.1508177403891844,-0.2552709837320646,0.0205175670876697,82.35,3.45,77.1,-1005.37109,80.07813,284.66797,-0.0185191650941362,-0.0213169278850831,-0.145621720673072,56.7,19.35,1.8
-914.55078,69.33594,-401.85547,-0.0233155044115418,0.2555374955088442,0.007860613885132,-5.1,28.95,23.85,-376.95312,-91.79688,968.75,-0.1049862668964393,-0.273257299805567,-0.0014655529728996,80.1,2.55,77.55,-992.67578,86.91406,307.12891,-0.023981696587028,-0.0628850856139816,-0.0924624823158288,57.15,19.05,2.55
-937.98828,45.41016,-416.01562,-0.0734104682010586,0.2839158510145712,-0.0472970264656447,-5.7,29.4,23.55,-355.95703,-103.02734,953.125,-0.0899310567687362,-0.2391500755630938,0.059687642424328,82.35,2.7,77.1,-964.35547,89.84375,293.94531,-0.0165205885676775,-0.0734104682010586,-0.0334410320669869,56.7,19.05,3.6
-977.05078,43.94531,-426.75781,-0.0758085505932989,0.2470106894482258,-0.0662158719584876,-6.15,28.2,23.85,-353.02734,-83.49609,957.51953,-0.0458314734927451,-0.165073589719474,0.0043966589186989,81.75,3.15,78.15,-962.89062,83.00781,295.41016,-0.0498284520127373,-0.0182526533173567,-0.0847350370526239,56.7,19.05,3.6
-985.35156,42.48047,-428.22266,-0.0021317451483858,0.1751991173749191,0.0277121633302407,-6.15,28.2,22.5,-338.86719,-62.01172,958.98437,-0.0371714988101996,-0.1426906147272728,0.0873996312216436,81.3,3.15,78.45,-939.45312,55.17578,306.64062,-0.079272505559732,-0.0949939078629213,-0.0628850856139816,57.6,17.7,2.1
-980.46875,49.31641,-428.22266,-0.0544916227082157,0.1721348428071927,-0.0342403928644003,-6.15,28.2,22.5,-345.70312,-37.10938,981.93359,-0.061419532641082,-0.1361623851931132,0.0238483534321757,80.4,3.0,78.3,-931.15234,32.71484,305.17578,-0.110981647409965,-0.0170536121212365,-0.0827366350590903,56.4,18.6,2.25
-965.82031,44.92188,-416.01562,-0.0788728251610253,0.1293674693492489,-0.0503614755662963,-6.45,27.15,22.5,-336.42578,-37.10938,966.30859,-0.1299004929028079,-0.1104486238564059,0.0834028272345766,80.4,3.0,78.3,-929.19922,39.0625,301.26953,-0.1184425808963904,0.0127901218244648,-0.1077840296873862,56.4,18.6,2.25
-956.05469,42.96875,-417.96875,-0.0635512777894679,0.0550244717288496,-0.0695466583029936,-6.15,27.45,22.5,-338.37891,-41.99219,966.30859,-0.1384272989634262,-0.0250473946282958,0.0496952833908101,80.55,3.15,79.2,-937.5,30.27344,286.62109,-0.0884655037958365,0.0784731447623186,-0.1421577657066389,56.4,18.6,2.25
-941.40625,33.69141,-416.99219,-0.0439662401211387,0.0025314255470925,-0.0121241041819038,-5.4,28.2,24.15,-325.19531,-50.78125,976.07422,-0.1253706653621819,-0.0447657754514773,0.0706125308771865,80.55,3.15,78.15,-933.10547,31.73828,278.80859,-0.1220398790176759,0.1045865864977326,-0.1630750131930153,56.4,18.6,2.25
-945.3125,35.15625,-409.66797,-0.0957932686603347,-0.0007993607974134,-0.1060521394706322,-5.4,28.2,21.75,-323.73047,-60.05859,953.125,-0.1445558480988791,-0.0270459711547545,0.0678147680862396,81.3,2.4,78.45,-941.40625,20.50781,243.16406,-0.0767412545455646,0.1112481591867445,-0.1353630243956998,57.15,19.05,2.85
-930.66406,34.66797,-419.43359,-0.0933951862680945,-0.0113245688515652,-0.0205175670876697,-5.4,28.2,21.75,-345.70312,-84.96094,958.00781,-0.1326982556937548,-0.031309286918601,0.0310429496747467,81.3,2.4,78.45,-944.82422,19.53125,258.78906,-0.0476967068643514,0.0989908863829135,-0.1176432200989769,56.4,17.55,3.9
-940.42969,37.10938,-424.80469,-0.0772741035661985,-0.0526263893366094,-0.0158545709251164,-4.65,28.95,23.1,-329.58984,-101.5625,959.47266,-0.0815375938629702,-0.0043966589186989,0.0973919902551615,80.55,2.4,79.2,-940.91797,-2.92969,231.93359,-0.0538254305327295,0.1350965126189202,-0.1428239578821251,57.15,19.05,1.5
